
	Lev	Material	Component	Object description	Quantity	BUn	Document	MS	Group	GrC	Task list description	ValCl
	 2	3370487-458	2060782	FOAM WRAP .09IN X 72IN X 1500FT	  0.165	FT						RAW
	 1	3381545-N	2722823	GENERIC 18GA CRS	  4.410	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3381545-N	3500749	COIL STOCK 18GA CRS 48IN	  4.410	LB						RAW
	 1	3388185-N	2722841	GENERIC 5/16 HRS-P&O	 29.180	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3388185-N	2555550	SH STOCK 5/16 X 48 X 48 HRS-P&O	 29.180	LB						RAW
	 1	33PTCLP	2846292	TRIM CAP,L,S,T,METAL	  1.000	EA	2846292,E					RAW
	 1	33PTCLP	2945926	PACK KIT	  0.040	EA	-2940748,	99				SEMI
	 2	33PTCLP	2792183	RSC 12X12X4	  0.040	EA						RAW
	 2	33PTCLP	2209421	FOAM WRAP 1 LINEAR FOOT	  0.120	FT		99				SEMI
	 3	33PTCLP	2060782	FOAM WRAP .09IN X 72IN X 1500FT	  0.120	FT						RAW
	 1	33PTCLP		SUMMARY PAINT COLOR GENERAL	  0.007
	 1	33PTCTP	2846292	TRIM CAP,L,S,T,METAL	  1.000	EA	2846292,E					RAW
	 1	33PTCTP	2945926	PACK KIT	  0.040	EA	-2940748,	99				SEMI
	 2	33PTCTP	2792183	RSC 12X12X4	  0.040	EA						RAW
	 2	33PTCTP	2209421	FOAM WRAP 1 LINEAR FOOT	  0.120	FT		99				SEMI
	 3	33PTCTP	2060782	FOAM WRAP .09IN X 72IN X 1500FT	  0.120	FT						RAW
	 1	33PTCTP		SUMMARY PAINT COLOR GENERAL	  0.007
	 1	33PTCXP	2846292	TRIM CAP,L,S,T,METAL	  1.000	EA	2846292,E					RAW
	 1	33PTCXP	2945926	PACK KIT	  0.040	EA	-2940748,	99				SEMI
	 2	33PTCXP	2792183	RSC 12X12X4	  0.040	EA						RAW
	 2	33PTCXP	2209421	FOAM WRAP 1 LINEAR FOOT	  0.120	FT		99				SEMI
	 3	33PTCXP	2060782	FOAM WRAP .09IN X 72IN X 1500FT	  0.120	FT						RAW
	 1	33PTCXP		SUMMARY PAINT COLOR GENERAL	  0.007
	 1	3405658-N	2584762	TUBE 14GA RECT 60MMX30MMX20FT	  0.200	EA	-2601391,					RAW
	 1	3414877-N	2722824	GENERIC 20GA CRS	  1.039	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3414877-N	3500751	COIL STOCK 20GA CRS 48IN	  1.039	LB						RAW
	 1	3419918-N	2584762	TUBE 14GA RECT 60MMX30MMX20FT	  0.115	EA	-2601391,					RAW
	 1	3419920-N	2766219	GENERIC 8GA CRS	  8.149	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3419920-N	2170244	SH STK 8GA 48 X 48 HRPO	  8.149	LB						RAW
	 1	3419927-N	2584762	TUBE 14GA RECT 60MMX30MMX20FT	  0.347	EA	-2601391,					RAW
	 1	3419931-N	2766219	GENERIC 8GA CRS	  4.810	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3419931-N	2170244	SH STK 8GA 48 X 48 HRPO	  4.810	LB						RAW
	 1	3419932-N	2766219	GENERIC 8GA CRS	  4.700	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3419932-N	2170244	SH STK 8GA 48 X 48 HRPO	  4.700	LB						RAW
	 1	3420131-N	2584762	TUBE 14GA RECT 60MMX30MMX20FT	  0.185	EA	-2601391,					RAW
	 1	3420135-N	2584762	TUBE 14GA RECT 60MMX30MMX20FT	  0.372	EA	-2601391,					RAW
	 1	3486384-N	2766219	GENERIC 8GA CRS	  2.999	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3486384-N	2170244	SH STK 8GA 48 X 48 HRPO	  2.999	LB						RAW
	 1	3486385-N	2766219	GENERIC 8GA CRS	  3.349	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3486385-N	2170244	SH STK 8GA 48 X 48 HRPO	  3.349	LB						RAW
	 1	3487515	3543311	PNO HNG 1.25X48 CRS	  0.250	EA						RAW
	 1	3487519-N	2722823	GENERIC 18GA CRS	  5.215	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3487519-N	3500749	COIL STOCK 18GA CRS 48IN	  5.215	LB						RAW
	 1	3487534-N	2722823	GENERIC 18GA CRS	  6.225	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3487534-N	3500749	COIL STOCK 18GA CRS 48IN	  6.225	LB						RAW
	 1	3498752-N	2722826	GENERIC 11GA CRS	  0.179	LB	-74942804,		29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3498752-N	1849620	SH STK 11GA CRS 48 X 36	  0.179	LB	1954297,C					RAW
	 1	3545891-N	2722841	GENERIC 5/16 HRS-P&O	 29.056	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3545891-N	2555550	SH STOCK 5/16 X 48 X 48 HRS-P&O	 29.056	LB						RAW
	 1	3545895-N	3177949	TUBE 14GA RD 1.5 OD X 240	  0.105	EA						RAW
	 1	3553277-N	2722823	GENERIC 18GA CRS	  1.434	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3553277-N	3500749	COIL STOCK 18GA CRS 48IN	  1.434	LB						RAW
	 1	3591040-N	3478064	TUBE 14GA RECT 3.0 X 1.0 X 240	  0.266	EA						RAW
	 1	3608836-N	3478065	TUBE 16GA RECT 2.0 X 0.75 X 240	  0.069	EA						RAW
	 1	3616053-N	2722825	GENERIC 22GA CRS	  1.773	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3616053-N	3500753	COIL STOCK 22GA CRS 48IN	  1.773	LB						RAW
	 1	3627637-544	2534189	PWDR 544 SILVER PEARL METALLIC	  0.150	LB						RAW
	 1	3627637-544	3627637-PFP	WALL MET LEG ASSY-PFP	  1.000	EA	3627637,A					RAW
	 1	3627663-N	2722844	GENERIC 1/4 CRS	  1.250	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3627663-N	2762019	SH STK 1/4 X 48 X 48 HRS-P&O	  1.250	LB						RAW
	 1	3627663-N	2762019	SH STK 1/4 X 48 X 48 HRS-P&O	  1.250	LB						RAW
	 1	3660539-N	2722844	GENERIC 1/4 CRS	  1.250	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3660539-N	2762019	SH STK 1/4 X 48 X 48 HRS-P&O	  1.250	LB						RAW
	 1	3660539-N	2762019	SH STK 1/4 X 48 X 48 HRS-P&O	  1.250	LB						RAW
	 1	3727833	2722825	GENERIC 22GA CRS	  0.687	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	3727833	3500753	COIL STOCK 22GA CRS 48IN	  0.687	LB						RAW
	 1	44425402	2722825	GENERIC 22GA CRS	  2.917	LB			29300	1	REPORT PRODUCTION LBS	SEMI
	 2	44425402	3500753	COIL STOCK 22GA CRS 48IN	  2.917	LB						RAW
	 1	IBF1	2024462	RWHC FBSCR 8X.75 BK	  8.000	EA						RAW
	 1	IBF1	2684013	BRKT FLAT TIE PL IW	  1.000	EA	1762318,C					RAW
	 1	IBF1	2764704	PACK KIT	  0.050	EA	-2757298,	99				SEMI
	 2	IBF1	2015423	DC MAILER 6X3.6X2	  0.050	EA						RAW
	 1	NBAFSIM36-N	NAAFSIM133	EXTRN MTG MBR AL 6063-T5 MILL	  0.250	EA	601-169,C					RAW
	 1	NBAPT30E	1227342	TUBE 18GA RECT 2.0 X 1.5 X 145 CRS	  0.200	EA						RAW
	 1	NBAPT36E	1227342	TUBE 18GA RECT 2.0 X 1.5 X 145 CRS	  0.250	EA						RAW
	 1	NBAPT42E	1227342	TUBE 18GA RECT 2.0 X 1.5 X 145 CRS	  0.330	EA						RAW
	 1	NDAPGB-T	1473615	PRESS STUD 1/4-20 SST	  1.000	EA						RAW
	 1	NDAPGB-T	1473617	GLZD FR BRKT 12GA RAW	  1.000	EA	1473617,B					RAW
	 1	NEAC6937-BK	2739398	IRONSTONE HR512NK9	  0.040	LB						RAW
	 1	NEAC6937-BK	2065644	J CHNL,37,RAW	  1.000	EA	2214212,D					RAW
	 1	NEAC6968-BK	2739398	IRONSTONE HR512NK9	  0.069	LB						RAW
	 1	NEAC6968-BK	2065651	J CHNL,68,RAW	  1.000	EA	2214211,A					RAW
	 1	NEAPASR80S	2517979	PWDR 420 SANDSTONE	  0.072	LB						RAW
	 1	NEAPASR80S	2065571	SPLN RTNR,ACST,80,RAW	  1.000	EA	2055290,D					RAW
	 0	1504982		FR VERT FILE CTR NOTCH	  0.000		1504992,D		39205	3	Salvagnini  S4 (0/.333) (stack off small
	 0	1504993-S		FR VERT CTR FRT RH NOTCH	  0.000		1504993,G		30193	24	Laser (0/.25)
	 0	1504994-S		FR VERT CTR FRT LH NOTCH	  0.000		1504993,G		30193	24	Laser (0/.25)
	 0	1669263		URT CASE 2H LAT NOTCH	  0.000		1669262,F		39205	3	Salvagnini  S4 (0/.333) (stack off small
	 0	1873807-N		GLZD VERT FR RL R AL NTCH	  0.000		-2134911,		30606	13	Omga2(5/.35)
	 0	1873808-N		GLZD VERT FR RL L AL NTCH	  0.000		-2134910,		30606	13	Omga2(5/.35)
	 0	1895296		CONNR BRKT BOT DOOR/POST	  0.000		-1895296,		30214	26	Cut(5/.4)
	 0	1977163-S		FRNT DRW BOX EXTD	  0.000		1977164,C		30199	13	Drawer Cell (Notch/Form) 38.217/1.16
	 0	1977164-S		FRNT DRW BOX EXTD LKG	  0.000		1977164,C		30199	13	Drawer Cell (Notch/Form) 38.217/1.16
	 0	1977165-S		FRNT DRW FILE EXTD LKG WELD	  0.000		1977165,C		30199	13	Drawer Cell (Notch/Form) 38.217/1.16
	 0	1977166-S		FRNT DRW FILE EXTD NLKG WELD	  0.000		1977165,C		30199	13	Drawer Cell (Notch/Form) 38.217/1.16
	 0	1981785-W		DOOR GLIDE ASSY WELD	  0.000		-3494938,		30217	5	Mig Welder (.50)
	 0	1988676		END PNL OTR BC 1566 LH	  0.000		1988672,E		39205	40	Salvagnini  S4/P4 (.50/1.00)
	 0	1988680		END PNL INR BC 1566 RH	  0.000		1988680,E		39205	40	Salvagnini  S4/P4 (.50/1.00)
	 0	2065538-PNT		SPLN RTNR,ACSTL,NCH,48,PNT	  0.000		2052301,D		30212	2	Powder Line (10:1)
	 0	2306718-SN		TRIM END 34.75 X 19.3 NOTCH	  0.000		2287105,C		30192	2	AMADA Vipros Notching
	 0	2516487-22S		COMBO SCRN EDGEMT BRKT SILVER	  0.000		2516487,B		30212	10	Powder Line (25:1)/Pack(.20)
	 0	2678327-22S		SCRN EDGEMT VERT BRKT SILVER	  0.000		2678327,A		30212	10	Powder Line (25:1)/Pack(.20)
	 0	2773567-N		LEG HORZ ST TUBE NOTCH	  0.000		2773445,A		30193	12	BLM Laser (tube 10/1.5)
	 0	2773572-N		LEG HORZ L	  0.000		2773444,F		30193	11	BLM Laser (tube 10/1)
	 0	2773577-N		LEG HORZ ST TUBE 25.4 X 50.8 RT	  0.000		2773442,E		30193	11	BLM Laser (tube 10/1)
	 0	2878462-N		50H END TRIM BLANK	  0.000		2844289,B		30193	8	Laser (0/.688)
	 0	2878622-SN		PLT VERT SPRT MCHD NOTCH	  0.000		2878622,C		30193	8	Laser (0/.688)
	 0	2914524-F		1 HIGH, SPRT TRAX FORM	  0.000		2914489,B		39205	41	Salvagnini  S4/P4 sheer (.333/.333)
	 0	2933808-N		DOOR OTR OVHD 48 NOTCH	  0.000		2933808,A	99
	 0	2995009		BASE RL 60 462 CINDER	  0.000		2995011,C		30603	77	KITS, (13:1)/.30
	 0	3104651-PNT		BAR OUTER 60-72IN PNT	  0.000		-3104651,		38393	5	Powder Line 2 (.25 x 5)
	 0	3106450-PNT		BAR INNER 60-72IN PNT	  0.000		-3106450,		38393	5	Powder Line 2 (.25 x 5)
	 0	3110769-N		BRKT, U BRKFR NOTCH	  0.000		-3110769,		30196	3	Finn Notching
	 0	3122060-PNT		BAR INNER 42-54IN PNT	  0.000		-3122060,		38393	5	Powder Line 2 (.25 x 5)
	 0	3122061-PNT		BAR OUTER 42-54IN PNT	  0.000		-3122061,		38393	5	Powder Line 2 (.25 x 5)
	 0	3135936-N		SP MOD Z BRKT NOTCH	  0.000		-3135936,		30193	8	Laser (0/.688)
	 0	3179223-N		BOT CHNL SNGL SIDE 36 NOTCH	  0.000		3179223,D		30193	8	Laser (0/.688)
	 0	3181973-N		FR VERT 66 WRDB SHLF NOTCH	  0.000		3181973,E		39205	3	Salvagnini  S4 (0/.333) (stack off small
	 0	3219215		BAR INNER 60-72IN (501)	  0.000		3106450,B		30212	3	Powder Line (4:1)
	 0	3222802-N		DUAL BNCH CROSSRAIL SLOTS NOTCH	  0.000		-3222802,		30193	13	BLM Laser (tube 10/2)
	 0	3245694-N		SP COLUMN NTCH	  0.000		3245694,A		30193	10	BLM Laser/Powder(4:1)
	 0	3245696-N		SP LOWER FOOT NTCH	  0.000		3245283,A		30194	4	Small Laser
	 0	3247428-N		FRAME TOP CONNR RL SLOTTED NOTCH	  0.000		-3247428,		30193	12	BLM Laser (tube 10/1.5)
	 0	3248061-N		SPRT TUBE MACH	  0.000		3248061,C		30193	22	BLM Laser (tube 10/2.5)
	 0	3277026-437		MET LEG ASSY-437	  0.000		3588945,A		30212	24	Powder Line (5:1)/Pack(2)
	 0	3277026-544		MET LEG ASSY-544	  0.000		3588945,A		30212	24	Powder Line (5:1)/Pack(2)
	 0	3277281-N		VERT STL TUBE REAR 19.1	  0.000		3277281,B		30193	12	BLM Laser (tube 10/1.5)
	 0	3277291-N		HORIZ REAR STL TUBE 12.7	  0.000		3277291,A		30215	9	Metal Saw
	 0	3294282-N		TUBE CROSS RL NTCH	  0.000		-3294282,		30193	11	BLM Laser (tube 10/1)
	 0	3299523		FRAME AL 24 HORIZ  608.5	  0.000		3093331,B		30606	7	Omga2(.916)
	 0	3299527		FRAME AL 48 HORIZ  1218.1	  0.000		3093331,B		30606	7	Omga2(.916)
	 0	3299530		FRAME AL 66 HORIZ  1675.3	  0.000		3093331,B		30606	7	Omga2(.916)
	 0	3299532		FRAME AL 78 HORIZ  1980.1	  0.000		3093331,B		30606	7	Omga2(.916)
	 0	3299533		FRAME AL 84 HORIZ  2132.5	  0.000		3093331,B		30606	7	Omga2(.916)
	 0	3305346-N		TUBE HORZ RL NTCH	  0.000		3305346,B		30193	11	BLM Laser (tube 10/1)
	 0	3310469-N		BRKT SIDE SHROUND, NOTCH	  0.000		-3310469,		30193	8	Laser (0/.688)
	 0	3325592-N		TUBE U NTCH	  0.000		3325592,C		30193	12	BLM Laser (tube 10/1.5)
